DataSet	Field Label	Variable Type	Allowable Values	Comments
NewDataSet.txt	subject                                   	int	1-30	Identifies test subject
NewDataSet.txt	activity                                 	int	1-6	Identifies type of activity observed 1-WALKING,2-WALKING_UPSTAIRS,3-WALKING_DOWNSTAIRS,4-SITTING,5-STANDING,6-LAYING
NewDataSet.txt	meanOf.tBodyAcc.mean.X                    	num	-1 to 1	mean value of the tBodyAcc.mean.X variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAcc.mean.Y                   	num	-1 to 1	mean value of the tBodyAcc.mean.Y variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAcc.mean.Z                    	num	-1 to 1	mean value of the tBodyAcc.mean.Z variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAcc.std.X                    	num	-1 to 1	mean value of the tBodyAcc.std.X variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAcc.std.Y                     	num	-1 to 1	mean value of the tBodyAcc.std.Y variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAcc.std.Z                    	num	-1 to 1	mean value of the tBodyAcc.std.Z variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tGravityAcc.mean.X                 	num	-1 to 1	mean value of the tGravityAcc.mean.X variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tGravityAcc.mean.Y                	num	-1 to 1	mean value of the tGravityAcc.mean.Y variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tGravityAcc.mean.Z                 	num	-1 to 1	mean value of the tGravityAcc.mean.Z variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tGravityAcc.std.X                 	num	-1 to 1	mean value of the tGravityAcc.std.X variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tGravityAcc.std.Y                  	num	-1 to 1	mean value of the tGravityAcc.std.Y variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tGravityAcc.std.Z                 	num	-1 to 1	mean value of the tGravityAcc.std.Z variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAccJerk.mean.X                	num	-1 to 1	mean value of the tBodyAccJerk.mean.X variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAccJerk.mean.Y               	num	-1 to 1	mean value of the tBodyAccJerk.mean.Y variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAccJerk.mean.Z                	num	-1 to 1	mean value of the tBodyAccJerk.mean.Z variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAccJerk.std.X                	num	-1 to 1	mean value of the tBodyAccJerk.std.X variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAccJerk.std.Y                 	num	-1 to 1	mean value of the tBodyAccJerk.std.Y variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyAccJerk.std.Z                	num	-1 to 1	mean value of the tBodyAccJerk.std.Z variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyGyro.mean.X                   	num	-1 to 1	mean value of the tBodyGyro.mean.X variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyGyro.mean.Y                  	num	-1 to 1	mean value of the tBodyGyro.mean.Y variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyGyro.mean.Z                   	num	-1 to 1	mean value of the tBodyGyro.mean.Z variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyGyro.std.X                   	num	-1 to 1	mean value of the tBodyGyro.std.X variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyGyro.std.Y                    	num	-1 to 1	mean value of the tBodyGyro.std.Y variable from the combinedDS groupedby the subject and activity
NewDataSet.txt	meanOf.tBodyGyro.std.Z                   	num	-1 to 1	mean value of the tBodyGyro.std.Z variable from the combinedDS groupedby the subject and activity
